Designator,Mid X,Mid Y,Rotation,Layer
D1,106.49375,-64.5875,90.0,bottom
D10,125.54375,-102.6875,90.0,bottom
D11,144.59375,-102.6875,90.0,bottom
D12,163.64375,-102.6875,90.0,bottom
D13,106.49375,-131.2625,90.0,bottom
D14,125.54375,-131.2625,90.0,bottom
D15,144.59375,-131.2625,90.0,bottom
D16,163.64375,-131.2625,90.0,bottom
D2,125.54375,-64.5875,90.0,bottom
D3,144.59375,-64.5875,90.0,bottom
D4,163.64375,-64.5875,90.0,bottom
D5,106.49375,-93.1625,90.0,bottom
D6,125.54375,-93.1625,90.0,bottom
D7,144.59375,-93.1625,90.0,bottom
D8,163.64375,-93.1625,90.0,bottom
D9,106.49375,-102.6875,90.0,bottom
S1,99.35,-69.35,0.0,top
S10,118.4,-107.45,0.0,top
S11,137.45,-107.45,0.0,top
S12,156.5,-107.45,0.0,top
S13,99.35,-126.5,0.0,top
S14,118.4,-126.5,0.0,top
S15,137.45,-126.5,0.0,top
S16,156.5,-126.5,0.0,top
S2,118.4,-69.35,0.0,top
S3,137.45,-69.35,0.0,top
S4,156.5,-69.35,0.0,top
S5,99.35,-88.4,0.0,top
S6,118.4,-88.4,0.0,top
S7,137.45,-88.4,0.0,top
S8,156.5,-88.4,0.0,top
S9,99.35,-107.45,0.0,top
U1,111.415,-40.775,90.0,top
